Name,Director,Country,Year,Location,Format,Viewed Ever/This Version,Recommend?,Unwatched shortlist,"
"
First Love,Eric Kot,Hong Kong,1998,Dublin,ISO,Y/Y,Y,,
A Better Tomorrow,John Woo,Hong Kong,1986,Dublin,ISO,Y/Y,Y,,
The Killer,John Woo,Hong Kong,1989,Dublin,,Y/Y,Y,,
Days Of Being Wild,Wong Kar Wai,Hong Kong,1990,Dublin ,ISO,Y/Y,Y,,
Chunking,Wong Kar Wai,Hong Kong,1994,,ISO,Y/Y,Y,,
In the Mood For Love,Wong Kar Wai,Hong Kong,2000,,,Y/Y,Y,,
Fallen Angels,Wong Kar Wai,Hong Kong,,Dublin,ISO,Y/Y,,,
Eagle Shooting Heroes,Jeff Lau,Hong Kong ,1993,Dublin,ISO,Y/Y,Y,,
Satantango,Bela Tarr,Hungary,1994,Dublin,DVD,N/N,,,
Taste of Cherry,Abbas Kiarostami,Iran,1997,,ISO,Y/Y,Y,,
Ten,Abbas Kiarostami,Iran,2002,,ISO,Y/Y,Y,,
Ten on Ten,Abbas Kiarostami,Iran,2004,,ISO,Y/Y,N,,
Crimson Gold,Jafar Panahi,Iran,2003,,ISO,Y/Y,Y,,
Close Up,Abbas Kiarostami,Iran ,1990,Dublin,ISO,Y/Y,Y,,
In Bruges,Martin McDonagh,Ireland,,Dublin,DVD,Y/Y,N,,
Ro.Go.Pa.G,Anthology,Italy,1963,Dublin,DVD,Y/Y,"N
",,
The White Sheik,Federico Fellini,Italy,1952,,,Y/Y,N,,
I Vitelloni,Federico Fellini,Italy,1953,Dublin,ISO,Y/Y,Y,,
La Strada,Federico Fellini,Italy,1954,Dublin,ISO,Y/Y,N,,
Il Bidone,Federico Fellini,Italy,1955,,,N/N,,,
The Passenger ,Michelangelo Antonioni,Italy,1975,Dublin,ISO,N/N,,Y,
Love Meetings,Pier Paolo Pasolini,Italy,1964,,,Y/Y,Y,,
Hawks and Sparrows,Pier Paolo Pasolini,Italy,1966,Dublin,ISO,Y/Y,N,,
Theorem (bfi 741),Pier Paolo Pasolini,Italy,1968,,ISO,Y/Y,Y,,
Decameron,Pier Paolo Pasolini,Italy,1971,,HD,Y/N,,,
